quarter,dong_code,industry_code,dong_name,industry_name,store_count,open_count,close_count,closure_rate,franchise_count
20242,11440720,CS100009,성산1동,호프-간이주점,14,0,0,0.0,3
20242,11440730,CS100010,성산2동,커피-음료,50,2,3,5.0,14
20242,11440730,CS100001,성산2동,한식음식점,88,2,3,3.0,13
20242,11440730,CS100003,성산2동,일식음식점,15,1,1,6.0,3
20242,11440730,CS100004,성산2동,양식음식점,6,0,0,0.0,0
20242,11440730,CS100005,성산2동,제과점,17,1,0,0.0,5
20242,11440730,CS100006,성산2동,패스트푸드점,9,1,1,5.0,13
20242,11440730,CS100007,성산2동,치킨전문점,3,0,0,0.0,11
20242,11440730,CS100008,성산2동,분식전문점,32,3,3,7.0,10
20242,11440730,CS100009,성산2동,호프-간이주점,18,1,3,14.0,4
20242,11440730,CS100002,성산2동,중식음식점,13,1,0,0.0,3
20242,11440740,CS100006,상암동,패스트푸드점,20,1,1,3.0,18
20242,11440740,CS100010,상암동,커피-음료,141,8,8,4.0,64
20242,11440740,CS100009,상암동,호프-간이주점,53,0,1,2.0,9
20242,11440740,CS100008,상암동,분식전문점,33,2,4,8.0,15
20242,11440740,CS100007,상암동,치킨전문점,9,0,2,10.0,12
20242,11440740,CS100005,상암동,제과점,18,1,0,0.0,10
20242,11440740,CS100004,상암동,양식음식점,50,2,2,3.0,9
20242,11440740,CS100003,상암동,일식음식점,62,5,8,11.0,12
20242,11440740,CS100002,상암동,중식음식점,33,0,0,0.0,11
20242,11440740,CS100001,상암동,한식음식점,265,13,13,4.0,70
20243,11440555,CS100003,아현동,일식음식점,11,1,2,15.0,2
20243,11440555,CS100009,아현동,호프-간이주점,24,0,1,4.0,4
20243,11440555,CS100008,아현동,분식전문점,28,2,1,3.0,10
20243,11440555,CS100007,아현동,치킨전문점,4,0,2,15.0,9
20243,11440555,CS100006,아현동,패스트푸드점,6,0,0,0.0,4
20243,11440555,CS100010,아현동,커피-음료,39,5,3,5.0,21
20243,11440555,CS100005,아현동,제과점,11,1,0,0.0,5
20243,11440555,CS100001,아현동,한식음식점,84,5,5,5.0,17
20243,11440555,CS100002,아현동,중식음식점,3,0,0,0.0,1
20243,11440555,CS100004,아현동,양식음식점,14,1,0,0.0,0
20243,11440565,CS100001,공덕동,한식음식점,209,6,7,3.0,21
20243,11440565,CS100006,공덕동,패스트푸드점,7,0,2,11.0,12
20243,11440565,CS100007,공덕동,치킨전문점,8,2,3,12.0,17
20243,11440565,CS100008,공덕동,분식전문점,29,0,2,5.0,14
20243,11440565,CS100009,공덕동,호프-간이주점,48,2,2,4.0,2
20243,11440565,CS100010,공덕동,커피-음료,65,3,3,4.0,20
20243,11440565,CS100004,공덕동,양식음식점,21,0,2,7.0,7
20243,11440565,CS100003,공덕동,일식음식점,21,1,1,4.0,3
20243,11440565,CS100002,공덕동,중식음식점,15,1,0,0.0,0
20243,11440565,CS100005,공덕동,제과점,26,2,0,0.0,6
20243,11440585,CS100005,도화동,제과점,13,0,1,5.0,9
20243,11440585,CS100006,도화동,패스트푸드점,6,0,0,0.0,8
20243,11440585,CS100007,도화동,치킨전문점,7,0,1,6.0,9
20243,11440585,CS100008,도화동,분식전문점,29,3,2,5.0,8
20243,11440585,CS100009,도화동,호프-간이주점,61,0,6,8.0,12
20243,11440585,CS100010,도화동,커피-음료,36,2,3,5.0,26
20243,11440585,CS100001,도화동,한식음식점,160,12,11,6.0,16
20243,11440585,CS100002,도화동,중식음식점,16,0,2,10.0,4
20243,11440585,CS100003,도화동,일식음식점,17,1,1,4.0,6
20243,11440585,CS100004,도화동,양식음식점,20,1,0,0.0,2
20243,11440590,CS100010,용강동,커피-음료,50,2,5,7.0,21
20243,11440590,CS100001,용강동,한식음식점,168,8,9,4.0,36
20243,11440590,CS100002,용강동,중식음식점,12,0,2,17.0,0
20243,11440590,CS100003,용강동,일식음식점,24,1,1,3.0,6
20243,11440590,CS100004,용강동,양식음식점,23,1,0,0.0,2
20243,11440590,CS100005,용강동,제과점,7,1,0,0.0,9
20243,11440590,CS100006,용강동,패스트푸드점,6,0,2,12.0,11
20243,11440590,CS100007,용강동,치킨전문점,4,0,1,8.0,9
20243,11440590,CS100008,용강동,분식전문점,12,0,1,5.0,7
20243,11440590,CS100009,용강동,호프-간이주점,53,2,4,7.0,6
20243,11440600,CS100001,대흥동,한식음식점,116,11,2,2.0,16
20243,11440600,CS100006,대흥동,패스트푸드점,9,1,3,15.0,11
20243,11440600,CS100007,대흥동,치킨전문점,6,1,0,0.0,7
20243,11440600,CS100008,대흥동,분식전문점,27,0,1,3.0,11
20243,11440600,CS100009,대흥동,호프-간이주점,26,2,2,7.0,5
20243,11440600,CS100010,대흥동,커피-음료,78,9,6,6.0,22
20243,11440600,CS100005,대흥동,제과점,18,0,1,5.0,4
20243,11440600,CS100004,대흥동,양식음식점,21,4,1,4.0,4
20243,11440600,CS100003,대흥동,일식음식점,11,0,0,0.0,2
20243,11440600,CS100002,대흥동,중식음식점,15,1,0,0.0,0
20243,11440610,CS100010,염리동,커피-음료,41,2,3,6.0,14
20243,11440610,CS100009,염리동,호프-간이주점,13,0,1,7.0,2
20243,11440610,CS100008,염리동,분식전문점,21,1,2,7.0,7
20243,11440610,CS100007,염리동,치킨전문점,4,0,2,22.0,5
20243,11440610,CS100006,염리동,패스트푸드점,7,2,2,11.0,11
20243,11440610,CS100005,염리동,제과점,16,1,0,0.0,2
20243,11440610,CS100004,염리동,양식음식점,16,1,1,6.0,2
20243,11440610,CS100003,염리동,일식음식점,11,1,0,0.0,3
20243,11440610,CS100002,염리동,중식음식점,6,0,0,0.0,1
20243,11440610,CS100001,염리동,한식음식점,66,3,2,3.0,10
20243,11440630,CS100002,신수동,중식음식점,7,0,0,0.0,0
20243,11440630,CS100001,신수동,한식음식점,73,6,4,5.0,8
20243,11440630,CS100003,신수동,일식음식점,8,0,0,0.0,1
20243,11440630,CS100004,신수동,양식음식점,13,1,1,7.0,1
20243,11440630,CS100005,신수동,제과점,12,0,0,0.0,2
20243,11440630,CS100006,신수동,패스트푸드점,4,1,0,0.0,7
20243,11440630,CS100007,신수동,치킨전문점,2,0,1,9.0,9
20243,11440630,CS100008,신수동,분식전문점,22,3,1,4.0,4
20243,11440630,CS100009,신수동,호프-간이주점,11,0,2,13.0,4
20243,11440630,CS100010,신수동,커피-음료,46,3,3,6.0,6
20243,11440655,CS100010,서강동,커피-음료,120,6,14,10.0,21
20243,11440655,CS100009,서강동,호프-간이주점,77,4,8,9.0,10
20243,11440655,CS100008,서강동,분식전문점,24,5,2,7.0,6
20243,11440655,CS100007,서강동,치킨전문점,5,1,0,0.0,14
